"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT08","WT11","WT14","WT16"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-01",,,,,"0.04","0.0",,"43","34",,,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-02",,,,,"0.00","0.0",,"60","35",,,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-03",,,,,"0.00","0.0",,"66","36",,,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-04",,,,,"0.06","0.0",,"67","46",,,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-05",,,,,"0.00","0.0",,"69","42","69",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-06",,,,,"0.00","0.0",,"78","40",,,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-07",,,,,"0.00","0.0",,"72","41","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-08",,,,,"0.00","0.0",,"75","42","57",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-09",,,,,"0.00","0.0",,"76","40","59",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-10",,,,,"0.00","0.0",,"74","40","60",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-11",,,,,"0.00","0.0",,"71","40","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-12",,,,,"0.00","0.0",,"74","38","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-13",,,,,"0.00","0.0",,"74","39","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-14",,,,,"0.00","0.0",,"74","38","55",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-15",,,,,"0.00","0.0",,"78","38","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-16",,,,,"0.00","0.0",,"78","42","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-17",,,,,"0.00","0.0",,"82","40","63",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-18",,,,,"0.00","0.0",,"82","36","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-19",,,,,"0.00","0.0",,"84","36","63",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-20",,,,,"0.00","0.0",,"83","35","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-21",,,,,"0.00","0.0",,"83","38","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-22",,,,,"0.00","0.0",,"81","39","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-23",,,,,"0.00","0.0",,"72","34","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-24",,,,,"0.00","0.0",,"63","32","47",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-25",,,,,"0.00","0.0",,"51","26","47",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-26",,,,,"0.00","0.0",,"55","26","49",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-27",,,,,"0.00","0.0",,"55","35","51",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-28",,,,,"0.00","0.0",,"51","37","45",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-29",,,,,"0.68",,,"51","39","45",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-30",,,,,"0.00","0.0",,"52","37","44",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-03-31",,,,,"0.23","0.0",,"54","42","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-01",,,,,"0.00","0.0",,"62","42","52",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-02",,,,,"0.25",,,"67","47","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-03",,,,,"0.00",,,"66","50","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-04",,,,,"0.78",,,"61","52","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-05",,,,,"0.04",,,"66","40","55",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-06",,,,,"0.00",,,"65","45","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-07",,,,,"0.00",,,"71","46","60",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-08",,,,,"0.07",,,"67","48","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-09",,,,,"0.92",,,"62","50","52",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-10",,,,,"0.28",,,"59","46","48",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-11",,,,,"0.00",,,"63","41","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-12",,,,,"0.00",,,"62","37","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-13",,,,,"0.29",,,"72","48","55",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-14",,,,,"0.00",,,"63","44","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-15",,,,,"0.04",,,"57","45","47",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-16",,,,,"0.00",,,"66","34","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-17",,,,,"0.00",,,"77","37","67",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-18",,,,,"0.00",,,"86","45","70","    1",,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-19",,,,,"0.00",,,"74","47","58",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-20",,,,,"0.00",,,"64","38","56",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-21",,,,,"0.00",,,"65","35","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-22",,,,,"0.00",,,"69","37","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-23",,,,,"0.35",,,"59","41","53",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-24",,,,,"0.00",,,"67","38","51",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-25",,,,,"0.00",,,"63","35","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-26",,,,,"0.30",,,"53","38","42",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-27",,,,,"0.00",,,"61","34","50",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-28",,,,,"0.00",,,"60","31","50",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-29",,,,,"0.00",,,"73","30","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-04-30",,,,,"0.00",,,"80","37","66",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-01",,,,,"0.00","0.0","0.0","88","39","65",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-02",,,,,"0.00","0.0","0.0","78","42","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-03",,,,,"0.00","0.0","0.0","83","42","72",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-04",,,,,"0.00","0.0","0.0","79","53","67",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-05",,,,,"0.00","0.0","0.0","84","33","63",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-06",,,,,"0.00","0.0","0.0","83","37","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-07",,,,,"0.00","0.0","0.0","62","40","56",,,,,,,,"    1"
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-08",,,,,"0.26","0.0","0.0","68","48","60",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-09",,,,,"0.12","0.0","0.0","67","45","54",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-10",,,,,"0.00","0.0","0.0","74","43","65",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-11",,,,,"0.00","0.0","0.0","82","44","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-12",,,,,"0.00","0.0","0.0","87","45","69",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-13",,,,,"0.00","0.0","0.0","87","46","69",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-14",,,,,"0.00","0.0","0.0","86","46","63",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-15",,,,,"0.00","0.0","0.0","76","52","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-16",,,,,"0.00","0.0","0.0","81","45","64",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-17",,,,,"0.00","0.0","0.0","84","47","73",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-18",,,,,"0.00","0.0","0.0","84","46","72",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-19",,,,,"0.00","0.0","0.0","89","47","74",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-20",,,,,"0.00","0.0","0.0","88","45","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-21",,,,,"0.16","0.0","0.0","89","49","62",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-22",,,,,"0.06","0.0","0.0","77","52","61",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-23",,,,,"0.33","0.0","0.0","71","53","57",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-24",,,,,"0.23","0.0","0.0","61","50","51",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-25",,,,,"0.00","0.0","0.0","69","46","51",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-26",,,,,"0.00","0.0","0.0","79","42","57",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-27",,,,,"0.00","0.0","0.0","71","46","55",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-28",,,,,"0.00","0.0","0.0","82","40","60",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-29",,,,,"0.00","0.0","0.0","91","43","63",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-30",,,,,"0.00","0.0","0.0","96","49","67",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-05-31",,,,,"0.00","0.0","0.0","95","49","78",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-01",,,,,"0.00","0.0","0.0","91","47","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-02",,,,,"0.00","0.0","0.0","84","47","68",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-03",,,,,"0.00","0.0","0.0","72","41","59",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-04",,,,,"0.00","0.0","0.0","62","35","46",,,,,,,,
"USC00043761","HAPPY CAMP RANGER STATION, CA US","1914-06-05",,,,,"0.00","0.0","0.0","63","35","52",,,,,,,,
