STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00041253,"CACHUMA LAKE, CA US",1952-03-01,,,0.22,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-02,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-03,,,0.06,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-04,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-05,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-06,,,2.01,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-07,,,0.38,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-08,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-09,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-10,,,0.39,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-11,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-12,,,0.08,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-13,,,0.02,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-14,,,1.9,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-15,,,4.76,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-16,,,0.03,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-17,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-18,,,0.02,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-19,,,0.05,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-20,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-21,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-22,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-23,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-24,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-25,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-26,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-27,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-28,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-29,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-30,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-03-31,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-01,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-02,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-03,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-04,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-05,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-06,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-07,,,0.46,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-08,,,0.04,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-09,,,0,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-10,,,0.25,,,,,
USC00041253,"CACHUMA LAKE, CA US",1952-04-11,,,0,,,,,
